"sample_id","subject_id","survey_timestamp","check_point","class"
"593_1","593",2022-11-25 17:00:00,"1","Subject"
"595_1","595",2022-11-26 21:13:00,"1","Subject"
"596_1","596",2022-11-26 12:25:30,"1","Subject"
"597_1","597",2022-11-25 18:00:30,"1","Subject"
"601_1","601",2022-11-30 17:32:00,"1","Subject"
"603_1","603",2022-11-26 00:28:30,"1","Subject"
"604_1","604",2022-11-28 07:41:30,"1","Subject"
"619_1","619",2022-11-29 22:20:30,"1","Subject"
"620_1","620",2022-11-28 08:47:30,"1","Subject"
"621_1","621",2022-11-25 13:51:30,"1","Subject"
"622_1","622",2022-11-27 09:56:30,"1","Subject"
"630_1","630",2022-11-29 13:27:30,"1","Subject"
"631_1","631",2022-11-28 09:39:00,"1","Subject"
"632_1","632",2022-11-26 17:05:30,"1","Subject"
"637_1","637",2022-11-30 04:34:30,"1","Subject"
"638_1","638",2022-11-29 01:17:30,"1","Subject"
"641_1","641",2022-11-25 21:03:30,"1","Subject"
"646_1","646",2022-11-28 09:55:30,"1","Subject"
"647_1","647",2022-11-26 09:46:00,"1","Subject"
"648_1","648",2022-11-26 09:46:00,"1","Subject"
"650_1","650",2022-11-28 19:46:00,"1","Subject"
"651_1","651",2022-11-28 02:52:00,"1","Subject"
"652_1","652",2022-12-01 04:21:00,"1","Subject"
"653_1","653",2022-11-27 15:40:00,"1","Subject"
"654_1","654",2022-11-30 02:46:00,"1","Subject"
"658_1","658",2022-11-29 09:46:00,"1","Subject"
"660_1","660",2022-11-26 09:50:00,"1","Subject"
"661_1","661",2022-12-01 10:46:00,"1","Subject"
"662_1","662",2022-11-26 05:03:00,"1","Subject"
"663_1","663",2022-11-27 18:21:30,"1","Subject"
"664_1","664",2022-11-26 11:28:30,"1","Subject"
"666_1","666",2022-11-27 21:26:00,"1","Subject"
"667_1","667",2022-12-01 04:42:30,"1","Subject"
"669_1","669",2022-11-29 07:06:30,"1","Subject"
"670_1","670",2022-11-28 16:02:30,"1","Subject"
"671_1","671",2022-11-28 21:33:00,"1","Subject"
"673_1","673",2022-11-27 08:27:30,"1","Subject"
"674_1","674",2022-11-27 17:01:00,"1","Subject"
"676_1","676",2022-11-27 14:30:30,"1","Subject"
"678_1","678",2022-11-28 10:24:30,"1","Subject"
"679_1","679",2022-11-28 12:59:30,"1","Subject"
"681_1","681",2022-11-26 14:18:00,"1","Subject"
"685_1","685",2022-11-28 15:14:30,"1","Subject"
"687_1","687",2022-11-28 01:42:00,"1","Subject"
"688_1","688",2022-11-29 07:52:30,"1","Subject"
"691_1","691",2022-12-01 19:11:30,"1","Subject"
"692_1","692",2022-11-28 04:01:00,"1","Subject"
"693_1","693",2022-11-26 13:34:30,"1","Subject"
"694_1","694",2022-11-28 14:15:30,"1","Subject"
"698_1","698",2022-11-26 15:05:30,"1","Subject"
"702_1","702",2022-11-27 13:12:30,"1","Subject"
"705_1","705",2022-11-27 13:36:30,"1","Subject"
"706_1","706",2022-11-27 16:52:00,"1","Subject"
"707_1","707",2022-11-27 00:13:30,"1","Subject"
"711_1","711",2022-12-02 02:18:30,"1","Subject"
"713_1","713",2022-11-27 02:42:00,"1","Subject"
"716_1","716",2022-11-28 18:42:30,"1","Subject"
"717_1","717",2022-11-28 16:21:30,"1","Subject"
"720_1","720",2022-11-26 23:08:00,"1","Subject"
"722_1","722",2022-12-01 14:29:30,"1","Subject"
"723_1","723",2022-11-30 14:56:30,"1","Subject"
"726_1","726",2022-11-27 01:26:30,"1","Subject"
"728_1","728",2022-11-27 13:06:00,"1","Subject"
"730_1","730",2022-11-29 16:36:00,"1","Subject"
"738_1","738",2022-11-27 07:35:30,"1","Subject"
"747_1","747",2022-11-27 14:47:30,"1","Subject"
"748_1","748",2022-11-28 03:42:00,"1","Subject"
"749_1","749",2022-11-27 09:08:00,"1","Subject"
"751_1","751",2022-11-27 09:24:30,"1","Subject"
"752_1","752",2022-11-30 17:23:30,"1","Subject"
"753_1","753",2022-11-27 12:27:30,"1","Subject"
"760_1","760",2022-11-27 11:04:00,"1","Subject"
"764_1","764",2022-12-01 07:08:30,"1","Subject"
